Fly_Drone1,,,,,,,,,,,,,,,
Time      ,.C.CM_Position.X,.C.CM_Position.Y,.C.CM_Position.Z,.R1.CM_Position.X,.R1.CM_Position.Y,.R1.CM_Position.Z,.R2.CM_Position.X,.R2.CM_Position.Y,.R2.CM_Position.Z,.R3.CM_Position.X,.R3.CM_Position.Y,.R3.CM_Position.Z,.R4.CM_Position.X,.R4.CM_Position.Y,.R4.CM_Position.Z
1.600000e+000,-1.011417e+001,-6.624633e+001,3.226866e+002,-9.972743e+001,-3.133989e+000,3.894391e+002,1.022447e+002,-3.206421e+000,3.863218e+002,-9.988873e+001,1.868645e+002,3.866007e+002,1.032420e+002,1.874033e+002,3.833868e+002
1.650000e+000,-1.002139e+001,-6.625447e+001,3.380992e+002,-9.954385e+001,-3.191980e+000,4.050121e+002,1.024227e+002,-3.267999e+000,4.015524e+002,-9.970476e+001,1.868081e+002,4.022804e+002,1.034202e+002,1.873433e+002,3.987225e+002
1.700000e+000,-9.968961e+000,-6.632898e+001,3.531980e+002,-9.946399e+001,-3.417451e+000,4.202783e+002,1.024999e+002,-3.488251e+000,4.166697e+002,-9.962473e+001,1.865879e+002,4.179434e+002,1.034976e+002,1.871286e+002,4.142371e+002
1.750000e+000,-9.964522e+000,-6.649835e+001,3.678717e+002,-9.950370e+001,-3.878664e+000,4.351534e+002,1.024615e+002,-3.933454e+000,4.316185e+002,-9.966452e+001,1.861349e+002,4.336256e+002,1.034591e+002,1.866920e+002,4.299959e+002
1.800000e+000,-1.001281e+001,-6.678122e+001,3.820249e+002,-9.967090e+001,-4.616847e+000,4.495606e+002,1.022995e+002,-4.646827e+000,4.463370e+002,-9.983208e+001,1.854027e+002,4.493252e+002,1.032969e+002,1.859852e+002,4.460129e+002
1.850000e+000,-1.011505e+001,-6.717540e+001,3.955948e+002,-9.996443e+001,-5.620399e+000,4.634320e+002,1.020140e+002,-5.624197e+000,4.607566e+002,-1.001262e+002,1.843931e+002,4.649609e+002,1.030110e+002,1.850026e+002,4.622056e+002
1.900000e+000,-1.026860e+001,-6.765140e+001,4.085635e+002,-1.003735e+002,-6.808479e+000,4.767137e+002,1.016136e+002,-6.796392e+000,4.748047e+002,-1.005362e+002,1.831765e+002,4.803455e+002,1.026101e+002,1.838026e+002,4.783678e+002
1.950000e+000,-1.046693e+001,-6.815306e+001,4.209628e+002,-1.008783e+002,-8.030914e+000,4.893703e+002,1.011156e+002,-8.024802e+000,4.884106e+002,-1.010420e+002,1.818997e+002,4.951866e+002,1.021114e+002,1.825205e+002,4.941708e+002
2.000000e+000,-1.069990e+001,-6.860555e+001,4.328679e+002,-1.014507e+002,-9.087280e+000,5.013888e+002,1.005454e+002,-9.114228e+000,5.015104e+002,-1.016157e+002,1.807751e+002,5.091186e+002,1.015403e+002,1.813631e+002,5.091964e+002
2.050000e+000,-1.095438e+001,-6.892827e+001,4.443775e+002,-1.020569e+002,-9.762425e+000,5.127764e+002,9.993520e+001,-9.843264e+000,5.140484e+002,-1.022231e+002,1.800448e+002,5.217588e+002,1.009292e+002,1.805789e+002,5.229976e+002
2.100000e+000,-1.121509e+001,-6.904826e+001,4.555850e+002,-1.026592e+002,-9.870753e+000,5.235501e+002,9.932235e+001,-1.000774e+001,5.259713e+002,-1.028267e+002,1.799248e+002,5.327757e+002,1.003154e+002,1.804025e+002,5.351712e+002
2.150000e+000,-1.146565e+001,-6.891202e+001,4.665444e+002,-1.032191e+002,-9.299118e+000,5.337219e+002,9.874676e+001,-9.468806e+000,5.372180e+002,-1.033877e+002,1.805421e+002,5.419561e+002,9.973893e+001,1.809866e+002,5.454294e+002
2.200000e+000,-1.168973e+001,-6.849550e+001,4.772421e+002,-1.036995e+002,-8.038780e+000,5.432869e+002,9.824811e+001,-8.194892e+000,5.477115e+002,-1.038692e+002,1.818870e+002,5.492594e+002,9.923947e+001,1.823447e+002,5.536593e+002
2.250000e+000,-1.187216e+001,-6.781325e+001,4.875826e+002,-1.040679e+002,-6.199440e+000,5.522216e+002,9.786277e+001,-6.286740e+000,5.573620e+002,-1.042384e+002,1.838020e+002,5.548514e+002,9.885350e+001,1.843279e+002,5.599603e+002
2.300000e+000,-1.199999e+001,-6.692591e+001,4.973958e+002,-1.042980e+002,-4.001554e+000,5.604946e+002,9.762082e+001,-3.976366e+000,5.660827e+002,-1.044690e+002,1.860131e+002,5.591063e+002,9.861114e+001,1.866506e+002,5.646525e+002
2.350000e+000,-1.206338e+001,-6.594285e+001,5.064633e+002,-1.043715e+002,-1.746658e+000,5.680847e+002,9.754339e+001,-1.595769e+000,5.738136e+002,-1.045426e+002,1.881929e+002,5.625686e+002,9.853358e+001,1.889552e+002,5.682433e+002
2.400000e+000,-1.205634e+001,-6.501313e+001,5.145576e+002,-1.042791e+002,2.301745e-001,5.749923e+002,9.764072e+001,4.809979e-001,5.805381e+002,-1.044501e+002,1.900308e+002,5.658706e+002,9.863107e+001,1.908918e+002,5.713494e+002
2.450000e+000,-1.197717e+001,-6.429897e+001,5.214836e+002,-1.040219e+002,1.617148e+000,5.812388e+002,9.791110e+001,1.909943e+000,5.862820e+002,-1.041922e+002,1.912810e+002,5.696151e+002,9.890190e+001,1.921828e+002,5.745806e+002
2.500000e+000,-1.182875e+001,-6.393644e+001,5.271120e+002,-1.036105e+002,2.180767e+000,5.868494e+002,9.834086e+001,2.445763e+000,5.910964e+002,-1.037800e+002,1.917823e+002,5.742510e+002,9.933236e+001,1.926557e+002,5.784124e+002
2.550000e+000,-1.161847e+001,-6.399841e+001,5.313982e+002,-1.030654e+002,1.808878e+000,5.918346e+002,9.890534e+001,1.990571e+000,5.950340e+002,-1.032337e+002,1.914580e+002,5.799732e+002,9.989776e+001,1.922480e+002,5.830834e+002
2.600000e+000,-1.135784e+001,-6.447487e+001,5.343893e+002,-1.024158e+002,5.343056e-001,5.961796e+002,9.957085e+001,6.124824e-001,5.981374e+002,-1.025828e+002,1.903163e+002,5.866774e+002,1.005643e+002,1.910034e+002,5.885463e+002
2.650000e+000,-1.106177e+001,-6.527767e+001,5.362221e+002,-1.016981e+002,-1.465699e+000,5.998538e+002,1.002972e+002,-1.468828e+000,6.004459e+002,-1.018635e+002,1.884632e+002,5.939820e+002,1.012918e+002,1.890704e+002,5.944892e+002
2.700000e+000,-1.074757e+001,-6.626599e+001,5.371121e+002,-1.009536e+002,-3.896380e+000,6.028343e+002,1.010409e+002,-3.926015e+000,6.020172e+002,-1.011175e+002,1.861172e+002,6.013135e+002,1.020365e+002,1.866996e+002,6.004174e+002
2.750000e+000,-1.043380e+001,-6.728218e+001,5.373318e+002,-1.002265e+002,-6.396303e+000,6.051316e+002,1.017578e+002,-6.387688e+000,6.029469e+002,-1.003889e+002,1.836012e+002,6.080320e+002,1.027545e+002,1.842237e+002,6.057746e+002
2.800000e+000,-1.013898e+001,-6.818486e+001,5.371752e+002,-9.956038e+001,-8.602846e+000,6.068015e+002,1.024067e+002,-8.507070e+000,6.033732e+002,-9.972133e+001,1.812966e+002,6.135608e+002,1.034042e+002,1.820078e+002,6.100651e+002
2.850000e+000,-9.880401e+000,-6.886984e+001,5.369163e+002,-9.899558e+001,-1.021751e+001,6.079371e+002,1.029509e+002,-1.001981e+001,6.034617e+002,-9.915534e+001,1.795619e+002,6.174891e+002,1.039491e+002,1.803763e+002,6.129494e+002
2.900000e+000,-9.673001e+000,-6.927699e+001,5.367729e+002,-9.856634e+001,-1.105581e+001,6.086483e+002,1.033609e+002,-1.077947e+001,6.033811e+002,-9.872520e+001,1.786464e+002,6.196287e+002,1.043597e+002,1.795400e+002,6.142974e+002
2.950000e+000,-9.528531e+000,-6.938807e+001,5.368870e+002,-9.829843e+001,-1.107150e+001,6.090422e+002,1.036153e+002,-1.076707e+001,6.032814e+002,-9.845673e+001,1.786304e+002,6.200266e+002,1.046144e+002,1.795524e+002,6.141987e+002
3.000000e+000,-9.454919e+000,-6.922201e+001,5.373244e+002,-9.820747e+001,-1.035223e+001,6.092172e+002,1.037014e+002,-1.007763e+001,6.032871e+002,-9.836558e+001,1.794184e+002,6.189438e+002,1.047006e+002,1.803101e+002,6.129416e+002
3.050000e+000,-9.437980e+000,-6.883003e+001,5.380756e+002,-9.827571e+001,-9.089492e+000,6.092479e+002,1.036380e+002,-8.889700e+000,6.034823e+002,-9.843401e+001,1.807806e+002,6.167863e+002,1.046371e+002,1.815966e+002,6.109424e+002
3.100000e+000,-9.372529e+000,-6.828836e+001,5.390077e+002,-9.838926e+001,-7.531203e+000,6.091258e+002,1.035380e+002,-7.425276e+000,6.038506e+002,-9.854812e+001,1.824268e+002,6.139665e+002,1.045367e+002,1.831477e+002,6.086071e+002
3.150000e+000,-9.134012e+000,-6.768318e+001,5.399607e+002,-9.841364e+001,-5.929666e+000,6.088373e+002,1.035327e+002,-5.908574e+000,6.043523e+002,-9.857339e+001,1.840789e+002,6.108969e+002,1.045310e+002,1.847136e+002,6.063233e+002
3.200000e+000,-8.606364e+000,-6.709767e+001,5.408035e+002,-9.821799e+001,-4.493745e+000,6.083921e+002,1.037489e+002,-4.528148e+000,6.049530e+002,-9.837892e+001,1.855254e+002,6.079415e+002,1.047464e+002,1.861034e+002,6.044117e+002
